,Alter bei Riss,Geburt,Liga,Name,Position,Rissdatum,Rissdatum dezimal,Saison,Verein,Verletzungszeit,Webseite
636,20,1995-07-02,segunda-division-b-grupo-iii,Marc Navarro,Rechter Verteidiger                            ,2016-01-04,2016.0109589041097,15,Espanyol Barcelona B,182,https://www.transfermarkt.ch/marc-navarro/verletzungen/spieler/335245
637,27,1989-05-31,1-bundesliga,Marco Reus,Offensives Mittelfeld                            ,2017-05-29,2017.4082191780822,17,Borussia Dortmund,220,https://www.transfermarkt.ch/marco-reus/verletzungen/spieler/35207
638,22,1995-01-04,*]]>*,Igor Engonga,Innenverteidiger                            ,2017-05-21,2017.386301369863,16,Transfermarkt,184,https://www.transfermarkt.ch/igor-engonga/verletzungen/spieler/268900
639,24,1989-10-21,championship,Sam Vokes,Mittelstürmer                            ,2014-03-31,2014.2493150684932,13,FC Burnley,269,https://www.transfermarkt.ch/sam-vokes/verletzungen/spieler/48078
640,21,1997-08-23,2-bundesliga,Leon Brüggemeier,Torwart                            ,2018-10-31,2018.8246575342466,18,SC Paderborn 07,196,https://www.transfermarkt.ch/leon-bruggemeier/verletzungen/spieler/259150
641,21,1996-08-20,regionalliga-sudwest,Luca Pfeiffer,Mittelstürmer                            ,2017-09-25,2017.7260273972602,17,Manuel Farrona Pulido,279,https://www.transfermarkt.ch/luca-pfeiffer/verletzungen/spieler/232463
642,28,1988-12-19,superliga,Matías Ballini,Defensives Mittelfeld                            ,2017-03-22,2017.2246575342465,16,Club Atlético Tucumán,227,https://www.transfermarkt.ch/matias-ballini/verletzungen/spieler/139926
643,27,1988-12-19,superliga,Matías Ballini,Defensives Mittelfeld                            ,2016-08-08,2016.5972602739726,16,Club Atlético Tucumán,149,https://www.transfermarkt.ch/matias-ballini/verletzungen/spieler/139926
644,23,1995-03-07,serie-a,Alberto Grassi,Zentrales Mittelfeld                            ,2018-12-04,2018.9150684931508,18,Parma Calcio 1913,158,https://www.transfermarkt.ch/alberto-grassi/verletzungen/spieler/197473
645,29,1982-04-03,ligue-2, Adriano,Rechter Verteidiger                            ,2011-12-20,2011.958904109589,11,AS Monaco,183,https://www.transfermarkt.ch/adriano/verletzungen/spieler/25469
646,27,1991-01-08,1-bundesliga,Lukas Rupp,Zentrales Mittelfeld                            ,2018-05-07,2018.3479452054794,18,TSG 1899 Hoffenheim,309,https://www.transfermarkt.ch/lukas-rupp/verletzungen/spieler/82863
647,21,1987-08-03,segunda-division-b-grupo-ii,Fran Rico,Zentrales Mittelfeld                            ,2008-09-16,2008.7013698630137,08,Real Madrid B (Castilla),181,https://www.transfermarkt.ch/fran-rico/verletzungen/spieler/63689
648,23,1992-06-09,eredivisie,Henk Dijkhuizen,Rechter Verteidiger                            ,2016-04-08,2016.268493150685,15,Roda JC Kerkrade,411,https://www.transfermarkt.ch/henk-dijkhuizen/verletzungen/spieler/169334
649,21,1995-03-15,eredivisie,Rick Dekker,Defensives Mittelfeld                            ,2016-08-01,2016.5780821917808,16,PEC Zwolle,381,https://www.transfermarkt.ch/rick-dekker/verletzungen/spieler/299121
650,26,1993-03-14,"script>

",Janne Saksela,Rechter Verteidiger                            ,2019-08-12,2019.6082191780822,19,Ilves Tampere,0,https://www.transfermarkt.ch/janne-saksela/verletzungen/spieler/130280
651,24,1993-03-14,eredivisie,Janne Saksela,Rechter Verteidiger                            ,2017-07-06,2017.509589041096,17,Sparta Rotterdam,298,https://www.transfermarkt.ch/janne-saksela/verletzungen/spieler/130280
652,26,1991-04-23,*]]>*,Pele van Anholt,Rechter Verteidiger                            ,2017-08-29,2017.654794520548,17,Los Angeles Galaxy,215,https://www.transfermarkt.ch/pele-van-anholt/verletzungen/spieler/106634
653,32,1983-11-22,segunda-division-b-grupo-iv,Miguel Escalona,Torwart                            ,2016-01-06,2016.0164383561644,15,UCAM Murcia,155,https://www.transfermarkt.ch/miguel-escalona/verletzungen/spieler/7613
654,27,1991-05-22,premier-liga,Odise Roshi,Rechtsaußen                            ,2018-08-18,2018.6246575342466,18,Akhmat Grozny,170,https://www.transfermarkt.ch/odise-roshi/verletzungen/spieler/99003
655,20,1993-05-30,bgl-ligue,Fabio Tonini,Linksaußen                            ,2014-03-09,2014.1890410958904,14,Transfermarkt,190,https://www.transfermarkt.ch/fabio-tonini/verletzungen/spieler/235129
656,25,1988-09-08,ligue-1,Maxime Barthelmé,Linkes Mittelfeld                            ,2014-03-03,2014.172602739726,13,FC Lorient,184,https://www.transfermarkt.ch/maxime-barthelme/verletzungen/spieler/112022
657,22,1985-10-09,1-bundesliga,Lukas Sinkiewicz,Defensives Mittelfeld                            ,2008-05-11,2008.358904109589,07,Bayer 04 Leverkusen,266,https://www.transfermarkt.ch/lukas-sinkiewicz/verletzungen/spieler/17134
658,23,1990-09-17,beloften-eredivisie,Wouter de Vogel,Offensives Mittelfeld                            ,2013-09-24,2013.7232876712328,13,FC Den Bosch,86 ,https://www.transfermarkt.ch/wouter-de-vogel/verletzungen/spieler/64520
